gene,Atha_WT-Col-0_sl_FLT_Rep1_G1S1,Atha_WT-Col-0_sl_FLT_Rep2_G1S2,Atha_WT-Col-0_sl_FLT_Rep3_G1S3,Atha_WT-Col-0_sl_GC_Rep1_G2S1,Atha_WT-Col-0_sl_GC_Rep2_G2S2,Atha_WT-Col-0_sl_GC_Rep3_G2S3
AT5G41390,5.17709714,4.679474537,2.851072816,7.300162758,2.319508002,1.313822618
AT5G41400,576.8130728,682.3109641,553.8923807,262.2780566,391.9681987,364.8931036
AT5G41410,100.4309596,99.74810044,96.00036243,137.8526808,135.4800416,129.343426
AT5G41460,235.2360582,230.9525271,204.5113922,51.9251423,98.92000117,71.46931545
AT5G41470,2.185714139,0,2.449231558,2.440354115,3.752709474,2.26726464
AT5G41480,143.6328752,136.3486553,131.9304819,77.91435248,88.40487775,100.9554826
AT5G41490,1.094047275,0,5.707273802,5.69218195,2.500031717,1.13374162
AT5G41500,0,1.738076932,4.887932687,7.316947792,5.622606295,2.267617577
AT5G41510,0,0,4.073880788,4.065128601,3.123917226,1.133796688
AT5G41520,1390.160579,2129.334776,1907.086147,1289.597409,1542.849749,1362.581001
AT5G41540,0.552358624,6.870404525,7.251959262,6.485143645,10.55824329,7.94278669
AT5G41550,33.1509746,24.89595637,24.16487785,44.58126881,22.35448927,40.84958286
AT5G41560,273.4287738,241.8898587,255.4810588,88.30796632,232.3796903,219.2073529
AT5G41570,0,0.876201575,2.462577582,0.814600082,3.763573069,1.699748505
AT5G41580,192.6669335,134.0692288,145.1357208,186.4809458,160.9155565,190.6181516
AT5G41590,2.721969516,7.003094049,11.4821545,8.958602468,11.91253739,9.632643109
AT5G41600,525.0262771,676.721814,584.9557408,281.907396,435.4297982,391.8073781
AT5G41610,229.0709321,217.6225745,260.0398801,215.3552803,267.1492951,249.923687
AT5G41612,213.9012987,200.7380277,235.0171553,206.7070227,260.6728423,237.8393823
AT5G41620,35.9108963,30.03914894,26.90723548,54.88847833,66.31351817,54.41019671
AT5G41630,0.548386197,2.60088277,0.812854496,5.687657834,1.247991475,0.566994333
AT5G41650,9.711116802,12.4042943,13.26956877,4.08370365,10.72175756,3.962991668
AT5G41660,5.49268987,6.921027918,1.622530788,14.61787634,3.116713052,3.969512259
AT5G41670,2871.27374,2651.760379,3179.535294,3450.626151,2348.922557,2493.076567
AT5G41680,175.0048264,133.4563305,130.3643998,94.5858348,141.0648471,148.2882918
AT5G41685,669.0126361,611.0732198,615.0505189,353.6223767,560.7969578,504.0804465
AT5G41690,24.77227863,31.65895966,34.70105416,16.63583598,38.58550539,29.59681675
AT5G41700,2056.132763,4935.977843,4444.274371,3048.24703,5335.37648,4681.007677
AT5G41720,0,4.402849268,2.473914502,0,1.886373687,0.566388248
AT5G41730,9.838128591,9.093668337,16.4043925,17.61367498,19.56547705,9.663358349
AT5G41740,17.12084956,69.42581324,42.62515218,24.56335263,78.76200238,39.67959136
AT5G41750,36.2763271,117.7006961,109.2963215,27.22610981,156.8978809,99.59924798
AT5G41760,217.4408523,169.347974,183.1244742,92.43623785,117.3851456,130.9664001
AT5G41761,20.73889428,63.69081179,47.42279698,21.97175631,62.59508343,23.8036802
AT5G41765,0,4.371754396,10.65034321,6.513501994,4.386279448,2.833359178
